iter	RMSE
0	0.6437154138
1	0.6354141554
2	0.6270887499
3	0.6190240745
4	0.6109882526
5	0.6029539237
6	0.595384483
7	0.5876988366
8	0.5800934122
9	0.5731588505
10	0.5658906828
11	0.5590230754
12	0.5520944782
13	0.545715781
14	0.5390582163
15	0.5325910921
16	0.5265935373
17	0.5204914188
18	0.5144704189
19	0.5086945224
20	0.5030015518
21	0.4977209003
22	0.492433335
23	0.4870726935
24	0.4817546001
25	0.4767679894
26	0.4718156654
27	0.4671330604
28	0.4623850955
29	0.4575786264
30	0.4532626491
31	0.448894773
32	0.4448707516
33	0.4406141277
34	0.436731359
35	0.4326628244
36	0.4286074183
37	0.4247795489
38	0.4212307283
39	0.4174056855
40	0.4137731515
41	0.4103421108
42	0.4069067587
43	0.4033856519
44	0.3998526292
45	0.3967490718
46	0.3935988749
47	0.3904083116
48	0.3875305179
49	0.3847223891
50	0.3819124598
51	0.3791161522
52	0.3762152564
53	0.3735531117
54	0.3708308538
55	0.3683436011
56	0.3658478805
57	0.3632741603
58	0.3607847998
59	0.3583962871
60	0.3561853172
61	0.3539013571
62	0.35194955
63	0.3497008872
64	0.3476334739
65	0.3455045022
66	0.3435904298
67	0.3414880226
68	0.3396280899
69	0.3377579943
70	0.3359089596
71	0.3339427213
72	0.3321310382
73	0.3302710174
74	0.3286544437
75	0.3271944316
76	0.3255608519
77	0.3240155311
78	0.3224465036
79	0.3209231048
80	0.3193616699
81	0.3177292535
82	0.3165158305
83	0.3152758095
84	0.313838066
85	0.3123685178
86	0.3111179477
87	0.3096545029
88	0.3082626712
89	0.3069620631
90	0.305738427
91	0.3045208437
92	0.3033976749
93	0.3021000076
94	0.3010066738
95	0.2998392137
96	0.298702228
97	0.2976728999
98	0.2967462245
99	0.2957360688
100	0.294746167
101	0.2936782598
102	0.2927023739
103	0.2917188574
104	0.2908279397
105	0.2900620573
106	0.2891338136
107	0.2883827811
108	0.2874890192
109	0.2865742397
110	0.2857036504
111	0.2848850905
112	0.2840461085
113	0.2833026006
114	0.2825999325
115	0.2817962246
116	0.2810024357
117	0.2803027974
118	0.2795233611
119	0.2788056161
120	0.2782349529
121	0.2775338867
122	0.2770155598
123	0.2762540218
124	0.2754942961
125	0.2748572227
126	0.274178125
127	0.2735616683
128	0.2729123052
129	0.272215804
130	0.271659116
131	0.2710273562
132	0.2703202602
133	0.2698491254
134	0.2693005897
135	0.268724463
136	0.2682182332
137	0.267572336
138	0.2670028583
139	0.2664612954
140	0.2659094949
141	0.2653115716
142	0.2648248294
143	0.2643833338
144	0.2638117439
145	0.2633880877
146	0.2629005975
147	0.2624766207
148	0.2620819196
149	0.2616639774
150	0.2612178949
151	0.2607597261
152	0.2603581923
153	0.2599103997
154	0.2594604271
155	0.2590769773
156	0.2586258182
157	0.258252618
158	0.2577439659
159	0.2573225022
160	0.2569246115
161	0.2565531846
162	0.2561027955
163	0.2557344683
164	0.2553041771
165	0.2549424369
166	0.2545677796
167	0.2542893945
168	0.2539255992
169	0.253575774
170	0.2532023254
171	0.2528255887
172	0.2525209642
173	0.2522124118
174	0.2518829088
175	0.2515402891
176	0.2512488681
177	0.2508780395
178	0.2505665936
179	0.2502464831
180	0.2499800377
181	0.2497230997
182	0.2494548495
183	0.2492026643
184	0.2488652889
185	0.2485706892
186	0.2483428423
187	0.2480993243
188	0.2479186422
189	0.2476165051
190	0.2472479011
191	0.2470181985
192	0.2468257497
193	0.2465889217
194	0.2462737076
195	0.2459914596
196	0.2457781887
197	0.2455219421
198	0.2452876743
199	0.2450359237
200	0.24481477
201	0.2446662717
202	0.2444074379
203	0.2441546959
204	0.2439127651
205	0.2436621993
206	0.2434452286
207	0.243246204
208	0.2430562858
209	0.2428794124
210	0.2427120302
211	0.2424803273
212	0.2422824798
213	0.2420358679
214	0.241829258
215	0.2416112524
216	0.2414716087
217	0.2413382443
218	0.241183966
219	0.2410346265
220	0.2408577213
221	0.2406604536
222	0.2404757112
223	0.2402925642
224	0.2401058116
225	0.2399019978
226	0.2397529778
227	0.2395660017
228	0.2394314417
229	0.2392651938
230	0.2391079683
231	0.2388978165
232	0.2387500389
233	0.2386041073
234	0.2384625749
235	0.2383133248
236	0.2381520928
237	0.2379366315
238	0.2377939074
239	0.2375851123
240	0.2374218922
241	0.237197383
242	0.2370047921
243	0.2368538587
244	0.2366878559
245	0.2364801898
246	0.2362925373
247	0.2361333023
248	0.2360032261
249	0.2358625104
250	0.2357078351
251	0.2355666203
252	0.2354106444
253	0.2352893565
254	0.2351302354
255	0.2349731462
256	0.2348424346
257	0.2347007328
258	0.2345237766
259	0.2343159407
260	0.2341608679
261	0.2340537142
262	0.2338768187
263	0.2337196406
264	0.2335888282
265	0.2334776411
266	0.2333279625
267	0.233145742
268	0.2330070818
269	0.2328980594
270	0.2327506681
271	0.2325917106
272	0.232451707
273	0.2323161727
274	0.2322025439
275	0.2320588417
276	0.231922266
277	0.2318377766
278	0.2317080265
279	0.2315967048
280	0.2314928959
281	0.2313790565
282	0.2311740121
283	0.2310539124
284	0.2308699489
285	0.2307450942
286	0.2306523404
287	0.2305258138
288	0.2303874384
289	0.2302926116
290	0.2301619853
291	0.2300311626
292	0.2299000992
293	0.2297720012
294	0.2296156978
295	0.2294844172
296	0.2293650665
297	0.2292637213
298	0.2291542353
299	0.2289923837
300	0.2288732724
301	0.2287299223
302	0.228617083
303	0.2285291737
304	0.2284174197
305	0.2283080138
306	0.2281869909
307	0.2281000633
308	0.2279697761
309	0.2278761517
310	0.227725635
311	0.2276211442
312	0.2275050597
313	0.227412239
314	0.2272950608
315	0.2271734173
316	0.2270438752
317	0.2269196166
318	0.2268127477
319	0.2266903591
320	0.2265197263
321	0.2264129213
322	0.2262653406
323	0.2262024446
324	0.2260932145
325	0.2259762628
326	0.225846764
327	0.2257200873
328	0.2256024125
329	0.2255105031
330	0.2254043464
331	0.2252803953
332	0.2251904753
333	0.2250979605
334	0.2249837749
335	0.2249034457
336	0.2248046929
337	0.2247080061
338	0.2246002084
339	0.2244921978
340	0.2244139312
341	0.2242922432
342	0.2241839894
343	0.2241048992
344	0.2240165515
345	0.2239191711
346	0.2238001422
347	0.2236876125
348	0.2236008273
349	0.2235370374
350	0.2234646321
351	0.2233178803
352	0.2231766459
353	0.2230975883
354	0.2230247709
355	0.2229171394
356	0.2228265303
357	0.2227504519
358	0.2226264095
359	0.2225383146
360	0.2224403472
361	0.2223550666
362	0.2222637133
363	0.2221636869
364	0.2220721696
365	0.2219693183
366	0.221865116
367	0.221754456
368	0.221669473
369	0.2215567145
370	0.2214854284
371	0.2214040377
372	0.2213291943
373	0.2212642292
374	0.2211835182
375	0.2210432507
376	0.2209089218
377	0.2208462336
378	0.2207307777
379	0.2206273467
380	0.2205655479
381	0.220515469
382	0.2204516092
383	0.2203355674
384	0.2202711888
385	0.2201581607
386	0.2200594447
387	0.219972889
388	0.2198708294
389	0.2197663395
390	0.2196607405
391	0.2195599304
392	0.2194709511
393	0.2193637211
394	0.2192399387
395	0.2191393122
396	0.2190431742
397	0.2189256043
398	0.2188269777
399	0.2187303671
400	0.2186726954
401	0.2185565683
402	0.2184474792
403	0.2183236815
404	0.2181994933
405	0.2181311209
406	0.2180375991
407	0.2179004657
408	0.2178081904
409	0.2177271857
410	0.2176160853
411	0.2175382116
412	0.2173954597
413	0.2172674441
414	0.2171623988
415	0.2170473476
416	0.2169008152
417	0.2167640381
418	0.2166483285
419	0.2165911477
420	0.2164652706
421	0.2163695763
422	0.2162767282
423	0.2161934841
424	0.2160812389
425	0.2159977543
426	0.2159110718
427	0.2158336677
428	0.2157196104
429	0.2156742335
430	0.2155664256
431	0.2155016685
432	0.2153835045
433	0.2152915551
434	0.2151791924
435	0.2150705718
436	0.2149649229
437	0.2148097788
438	0.2146977561
439	0.2145964058
440	0.2144771339
441	0.2143443367
442	0.2142419022
443	0.2141207436
444	0.2140455986
445	0.2139167886
446	0.2138140523
447	0.2137251684
