iter	Passed	Remaining
0	190	285704
1	351	263174
2	519	259447
3	686	256567
4	852	254860
5	1011	251857
6	1158	247155
7	1320	246333
8	1489	246803
9	1647	245547
10	1824	247026
11	1999	247884
12	2167	247977
13	2337	248127
14	2520	249558
15	2678	248462
16	2836	247447
17	2996	246695
18	3162	246482
19	3323	245927
20	3493	246054
21	3657	245740
22	3822	245450
23	3995	245692
24	4158	245354
25	4321	244985
26	4514	246315
27	4672	245622
28	4844	245714
29	5015	245741
30	5191	246008
31	5343	245138
32	5516	245254
33	5739	247478
34	6015	251790
35	6195	251956
36	6375	252072
37	6566	252629
38	6771	253661
39	6962	254131
40	7134	253870
41	7301	253469
42	7483	253568
43	7659	253449
44	7844	253637
45	8049	254428
46	8212	253883
47	8369	253186
48	8545	253065
49	8709	252570
50	8891	252612
51	9060	252305
52	9247	252475
53	9418	252200
54	9595	252091
55	9769	251901
56	9942	251694
57	10110	251360
58	10300	251573
59	10473	251374
60	10652	251284
61	10832	251245
62	10992	250736
63	11166	250542
64	11369	250996
65	11552	250997
66	11700	250245
67	11862	249811
68	12013	249155
69	12199	249214
70	12375	249076
71	12550	248912
72	12725	248757
73	12895	248496
74	13055	248050
75	13223	247766
76	13396	247571
77	13567	247349
78	13746	247254
79	13917	247035
80	14097	246975
81	14283	246996
82	14477	247158
83	14655	247042
84	14822	246759
85	14999	246611
86	15180	246548
87	15359	246449
88	15528	246185
89	15710	246123
90	15891	246059
91	16060	245797
92	16255	245927
93	16438	245879
94	16601	245529
95	16770	245262
96	16931	244896
97	17112	244810
98	17285	244611
99	17443	244209
100	17612	243954
101	17775	243633
102	17956	243547
103	18133	243407
104	18303	243176
105	18479	243024
106	18658	242915
107	18819	242567
108	18999	242462
109	19174	242299
110	19342	242039
111	19512	241813
112	19665	241381
113	19850	241346
114	20023	241156
115	20205	241067
116	20378	240880
117	20554	240726
118	20803	241423
119	20978	241248
120	21179	241381
121	21364	241312
122	21548	241237
123	21754	241401
124	21936	241303
125	22100	240998
126	22282	240898
127	22462	240768
128	22625	240456
129	22795	240230
130	22985	240205
131	23158	240005
132	23335	239849
133	23499	239556
134	23670	239339
135	23830	239007
136	24001	238793
137	24179	238640
138	24339	238319
139	24500	238006
140	24666	237745
141	24826	237422
142	24988	237132
143	25173	237053
144	25348	236879
145	25495	236440
146	25655	236136
147	25822	235893
148	25975	235519
149	26143	235293
150	26335	235271
151	26514	235138
152	26678	234872
153	26860	234769
154	27013	234403
155	27189	234247
156	27348	233945
157	27514	233696
158	27678	233440
159	27826	233045
160	27987	232767
161	28134	232372
162	28293	232079
163	28457	231828
164	28625	231604
165	28812	231543
166	28995	231445
167	29165	231244
168	29334	231032
169	29491	230727
170	29648	230426
171	29799	230077
172	29969	229885
173	30140	229689
174	30298	229401
175	30450	229067
176	30624	228901
177	30794	228706
178	30967	228538
179	31142	228376
180	31316	228210
181	31474	227933
182	31629	227631
183	31784	227330
184	31961	227184
185	32121	226926
186	32292	226737
187	32459	226529
188	32602	226148
189	32771	225953
190	32929	225678
191	33096	225471
192	33258	225225
193	33420	224988
194	33584	224759
195	33753	224563
196	33922	224373
197	34084	224131
198	34240	223855
199	34415	223698
200	34575	223453
201	34748	223284
202	34912	223063
203	35060	222738
204	35228	222540
205	35392	222318
206	35562	222133
207	35702	221768
208	35864	221533
209	36017	221250
210	36211	221218
211	36372	220977
212	36510	220606
213	36696	220519
214	36872	220376
