district,neighborhood,room,living room,area (m2),age,floor,price
Şişli,Meşrutiyet Mah.,1,1,70,9,1,34999
Şişli,Merkez Mah.,1,1,90,3,2,7000
Şişli,Meşrutiyet Mah.,1,1,85,7,2,34999
Kağıthane,Sultan Selim Mah.,2,1,75,19,3,22999
Beykoz,Acarlar Mah.,6,2,650,5,0,6500
Çekmeköy,Cumhuriyet Mah.,1,1,60,5,0,12999
Sarıyer,Yeniköy Mah.,5,1,500,35,5,6500
Kadıköy,Eğitim Mah.,3,1,150,21,5,38500
Sarıyer,Rumeli Hisarı Mah.,3,1,130,31,4,55000
Şişli,Duatepe Mah.,2,1,100,32,0,20000
Şişli,Gülbahar Mah.,2,1,100,5,0,25000
Beşiktaş,Türkali Mah.,1,0,25,5,4,16000
Şişli,Fulya Mah.,2,1,90,25,1,23000
Zeytinburnu,Sümer Mah.,1,1,60,28,4,10000
Esenyurt,Selahaddin Eyyubi Mah.,2,1,120,5,3,17000
Şişli,Duatepe Mah.,1,0,20,5,0,12500
Beşiktaş,Bebek Mah.,2,2,120,31,5,85000
Sarıyer,Yeniköy Mah.,3,1,180,31,3,85000
Maltepe,Aydınevler Mah.,2,1,70,12,0,19750
Beyoğlu,Kılıçali Paşa Mah.,1,1,70,21,0,28000
Bağcılar,Kirazlı Mah.,1,1,55,30,-1,8000
Sarıyer,Rumeli Hisarı Mah.,2,1,85,31,3,55000
Şişli,Yayla Mah.,2,1,80,26,1,28000
Beylikdüzü,Barış Mah.,3,1,145,25,1,23500
Üsküdar,Bulgurlu Mah.,2,1,65,20,0,18000
Kağıthane,Merkez Mah.,2,1,76,4,2,55000
Üsküdar,Aziz Mahmut Hüdayi Mah.,1,1,70,1,0,25000
Fatih,Aksaray Mah.,2,1,80,31,-1,13000
Bağcılar,100. Yıl Mah.,2,1,110,25,2,13000
Tuzla,Cami Mah.,3,1,140,30,1,19000
Beşiktaş,Bebek Mah.,2,1,150,35,2,150000
Eyüpsultan,Karadolap Mah.,1,1,60,10,1,25000
Beykoz,Paşabahçe Mah.,2,1,120,25,0,15000
Şişli,Bozkurt Mah.,1,1,75,25,1,18000
Beyoğlu,Firuzağa Mah.,2,1,75,23,5,35000
Başakşehir,Ziya Gökalp Mah.,1,1,60,0,4,20000
Üsküdar,Bulgurlu Mah.,3,1,90,13,1,25000
Küçükçekmece,Kanarya Mah.,3,1,125,35,2,24000
Beykoz,Kavacık Mah.,3,1,130,16,1,35000
Gaziosmanpaşa,Kazım Karabekir Mah.,1,1,80,29,5,12000
Esenler,Turgut Reis Mah.,3,1,135,25,2,17000
Gaziosmanpaşa,Karadeniz Mah.,1,1,123,5,1,35000
Kağıthane,Sultan Selim Mah.,2,1,77,5,1,25450
Şişli,Fulya Mah.,3,1,120,18,1,32000
Beykoz,Acarlar Mah.,3,1,191,0,16,100000
Beşiktaş,Muradiye Mah.,2,1,95,31,0,45000
Fatih,Ali Kuşçu Mah.,2,1,75,31,-2,20000
Kağıthane,Merkez Mah.,1,1,65,2,0,20000
Şişli,Kuştepe Mah.,1,1,55,8,5,25500
Gaziosmanpaşa,Fevzi Çakmak Mah.,1,1,90,35,1,14500
Fatih,Molla Gürani Mah.,3,1,120,35,2,25000
Esenyurt,Hürriyet Mah.,2,1,80,7,-1,12000
Kadıköy,Rasimpaşa Mah.,2,2,95,30,3,16000
Esenyurt,Talatpaşa Mah.,2,1,95,12,2,14000
