neighborhood,cluster
100. Yıl Mah.,1
15 Temmuz Mah.,1
19 Mayıs Mah.,0
50. Yıl Mah.,1
75. Yıl Mah.,1
Abbasağa Mah.,1
Abdurrahman Nafiz Gürman Mah.,1
Abdurrahmangazi Mah.,1
Acarlar Mah.,0
Acıbadem Mah.,0
Adem Yavuz Mah.,1
Adil Mah.,1
Adnan Kahveci Mah.,1
Ahmediye Mah.,1
Ahmet Yesevi Mah.,1
Ahmetli Mah.,1
Akat Mah.,0
Akevler Mah.,1
Akpınar Mah.,1
Aksaray Mah.,1
Akçaburgaz Mah.,1
Akçakese Mah.,1
Akıncılar Mah.,1
Akşemsettin Mah.,1
Alemdağ Mah.,1
Ali Kuşçu Mah.,1
Alibey Mah.,1
Alibeyköy Mah.,1
Alipaşa Mah.,1
Alkent 2000 Mah.,0
Altayçeşme Mah.,1
Altunizade Mah.,0
Altıntepe Mah.,1
Altıntepsi Mah.,1
Altınşehir Mah.,1
Ambarlı Mah.,1
Anadolu Hisarı Mah.,0
Anadolu Mah.,1
Arap Cami Mah.,1
Ardıçlı Mah.,1
Armağanevler Mah.,1
Arnavutköy Mah.,0
Arnavutköy Merkez Mah.,1
Asmalı Mescit Mah.,1
Atakent Mah.,1
Ataköy 1. Kısım Mah.,0
Ataköy 2-5-6. Kısım Mah.,0
Ataköy 3-4-11. Kısım Mah.,1
Ataköy 7-8-9-10. Kısım Mah.,1
Atalar Mah.,1
Atatürk Mah.,0
Atikali Mah.,1
Ayazağa Mah.,0
Aydınevler Mah.,1
Aydınlar Mah.,1
Aydınlı Mah.,1
Aydıntepe Mah.,1
Ayvansaray Mah.,1
Aziz Mahmut Hüdayi Mah.,1
Aşağı Dudullu Mah.,1
Aşık Veysel Mah.,1
Bahçeköy Merkez Mah.,1
Bahçeköy Yeni Mah.,0
Bahçelievler Mah.,0
Bahçeşehir 1. Kısım Mah.,1
Bahçeşehir 2. Kısım Mah.,1
Balaban Mah.,0
Balat Mah.,1
Balibey Mah.,1
Baltalimanı Mah.,0
Balıkyolu Mah.,1
Barbaros Hayrettin Paşa Mah.,1
Barbaros Hayrettinpaşa Mah.,1
Barbaros Mah.,0
Barış Mah.,1
Basınköy Mah.,0
Battalgazi Mah.,1
Batı Mah.,1
Bağlar Mah.,1
Bağlarbaşı Mah.,1
Bağlarçeşme Mah.,1
Başak Mah.,1
Başakşehir Mah.,1
Başıbüyük Mah.,1
Bebek Mah.,0
Bedrettin Mah.,1
Bereketzade Mah.,1
Beylerbeyi Mah.,0
Beştelsiz Mah.,1
