location,count,mean,median,std,q25,q75,min,max,IQR,CV,range,level
Adalar,42,52553.57142857143,38750.0,43362.53636613672,35000.0,48000.0,15000,200000,13000.0,82.51111235146641,185000,district
Arnavutköy,51,19352.941176470587,18000.0,7726.120706827624,15000.0,21000.0,9500,60000,6000.0,39.92220426020353,50500,district
Ataşehir,184,33584.885869565216,27500.0,19574.875523001454,22500.0,36000.0,12500,165000,13500.0,58.2847760716683,152500,district
Avcılar,209,19522.71770334928,18000.0,6488.600817507878,15000.0,25000.0,9000,45000,10000.0,33.23615551944751,36000,district
Bahçelievler,208,30982.6875,25750.0,18350.469680135768,18975.0,36250.0,10000,120000,17275.0,59.22814049018752,110000,district
Bakırköy,255,66732.94117647059,60000.0,38131.982943523755,35000.0,86250.0,12400,205000,51250.0,57.141169370440906,192600,district
Bayrampaşa,53,21816.037735849055,20000.0,7771.927871815492,16000.0,25000.0,12000,57000,9000.0,35.62483694756507,45000,district
Bağcılar,156,20519.23076923077,18000.0,8762.15922265603,15000.0,24000.0,9000,55000,9000.0,42.70218177864232,46000,district
Başakşehir,152,29608.552631578947,25000.0,15837.352921499398,20000.0,35000.0,10000,120000,15000.0,53.489115522006635,110000,district
Beykoz,248,39006.89919354839,28000.0,34350.889970525146,20000.0,40500.0,9000,240000,20500.0,88.06362638588476,231000,district
Beylikdüzü,212,28072.169811320753,25000.0,12733.089482975216,20000.0,35000.0,12000,130000,15000.0,45.3584085895644,118000,district
Beyoğlu,278,39321.0071942446,32000.0,25922.892320771538,20250.0,50000.0,11000,230000,29750.0,65.9263181960554,219000,district
Beşiktaş,478,84297.7489539749,60000.0,59560.0345317673,40000.0,120000.0,13000,240000,80000.0,70.65435942338868,227000,district
Büyükçekmece,83,25117.469879518074,23000.0,9750.651740990532,18000.0,30000.0,10000,55000,12000.0,38.82019880092165,45000,district
Esenler,99,18209.59595959596,17000.0,6583.617100105369,15000.0,20000.0,9000,45000,5000.0,36.154657767878604,36000,district
Esenyurt,389,16516.580976863752,15000.0,5822.150546962252,13000.0,19000.0,9000,55000,6000.0,35.25033755544115,46000,district
Eyüpsultan,215,46777.90697674418,30000.0,37917.96405314018,23000.0,60000.0,12000,240000,37000.0,81.05955675184707,228000,district
Fatih,325,20817.69230769231,18000.0,14463.364293799583,15000.0,22500.0,9000,180000,7500.0,69.47630928551696,171000,district
Gaziosmanpaşa,100,27493.98,25000.0,12057.817941681962,19000.0,32000.0,12000,80000,13000.0,43.85621122035428,68000,district
Güngören,76,23513.157894736843,22750.0,7062.565012897475,18000.0,28000.0,11000,45000,10000.0,30.036650306670847,34000,district
Kadıköy,304,57932.82236842105,53000.0,31024.811198496212,36000.0,70000.0,9500,190000,34000.0,53.5530808445606,180500,district
Kartal,115,32961.65217391304,28000.0,19781.96635474876,23000.0,35000.0,12000,150000,12000.0,60.015093449729676,138000,district
